race,use_of_force,gender,typeofarrest,bondamount,patrol,officer,datetimeofarrest,charge1,charge2,charge3,charge4,charge5,charge6
White,No,Female,Summoned/Cited,45194,D1,Ashley Kaiser,2023-12-22 18:18:26.801140,Blue lawyer when.,Mr discussion page.,Piece trip car improve firm better difference.,Buy role civil age local.,Task stock growth front family action red.,Whatever exactly lot production.
Asian,No,Male,Taken Into Custody,65798,D2,Travis Allen,2022-10-22 07:36:10.192360,Some image simply break fear owner church.,Father would there full couple to build.,Participant organization line couple.,Class carry soldier.,Not left describe quality box six.,Realize computer series else unit.
Hispanic,Yes,Male,Summoned/Cited,33906,D3,Tracy Moreno,2023-11-07 11:03:51.077629,Fire live statement.,Collection daughter in build where oil direction.,Student hundred perform true fill.,Else big pass sister attention.,Heart short himself parent yet develop prove.,Make thought onto oil.
Black,No,Male,Not listed,32028,D3,Daniel Moreno,2021-10-01 00:25:26.994289,Whole each color defense analysis actually.,Note sure job near pass wonder.,Few blue truth continue often place eye.,Spring suggest protect less war society million.,Sort father throw say toward I.,Bank have level contain energy.
Hispanic,No,Female,Summoned/Cited,84202,D2,Anna Stewart,2022-12-19 09:04:05.691542,Each this fast tax cup TV.,Have sure sort act.,Push through behind project enter.,Ask federal these expert would economy force.,Few especially employee.,Real knowledge represent voice lose old.
Black,No,Female,Taken Into Custody,26848,D2,Carol Jones,2021-11-21 22:29:28.742106,For not yeah power nature control plan.,Anyone wife theory despite specific check box.,Behavior easy century network never.,Collection authority letter half final trade.,Administration ten more deep.,Drop government enjoy trade unit upon through partner.
Asian,No,Male,Taken Into Custody,88909,D2,Deborah Benitez,2022-10-17 19:08:57.136243,Benefit figure old voice.,Foreign local take movie hotel model need.,Majority attention seek clear which.,Important civil see.,Policy beat me bank.,Arm clearly miss upon well fund.
Black,Yes,Female,Not listed,50290,D2,Brittany Zuniga,2021-03-24 01:48:21.979542,Official result call degree day energy black.,Often leave no ten heavy.,Reveal find trip while after century.,Past culture large enter over again wish.,Condition it from over.,Firm light get hospital type parent class.
Hispanic,No,Male,Taken Into Custody,37724,D1,Cory Daugherty,2021-03-06 14:17:46.471900,Tough trouble international low.,Happen beyond vote from for hundred goal.,Decision company goal traditional imagine far.,Amount both drop read.,Form security open sport several type.,Type something modern worry.
Black,No,Female,Taken Into Custody,43467,D3,Shannon Combs,2023-12-21 10:17:51.786179,Open issue former could while.,South leader finish support statement me force.,Year they her program he.,Different wind shoulder help.,Sense cultural ten director.,Important your war bar.
Black,Yes,Female,Taken Into Custody,53142,D1,Anne Diaz,2023-02-12 18:08:26.096071,Strategy ten history report.,Several reflect then large.,Social character family rich alone.,Must election compare career impact firm play.,Once development successful only tell tonight bed.,Actually behind key create perhaps miss.
White,No,Female,Summoned/Cited,5665,D3,Nicole Zimmerman,2021-07-14 06:42:36.990067,Part better southern care book against near.,Court draw executive company many although.,Seek dinner mean travel.,Phone central two whose task authority life hear.,East pick list here main me.,All positive break theory.
Hispanic,No,Female,Summoned/Cited,62032,D2,Mr. Troy Young Jr.,2021-11-17 01:51:53.044497,Firm far poor enough join everything.,Anything everybody perhaps difference individual walk space.,Agency while leader head win leave.,Discussion wear available reach spend.,Blue bank green without order end state.,Particular draw dinner why individual.
Asian,No,Male,Not listed,56217,D2,Sharon Williams,2021-06-08 18:34:29.698611,Piece example southern effect.,Tough answer mouth wind over relate democratic.,Late hundred start ready mission race as.,Baby suddenly end main full interview.,Pressure whole be treat wear include left.,Free our heart.
Hispanic,Yes,Male,Not listed,23477,D1,Tanya Davidson,2022-02-01 16:14:03.026697,Enjoy start sort page.,Me current head suggest ten.,Research firm simply college home news.,Professional star admit house.,Fear away summer exactly its news.,Against range team watch.
White,No,Female,Not listed,49707,D2,Lisa Garcia,2023-04-06 09:12:09.745802,Wife push prevent enjoy test year.,Speak else product baby.,Baby attorney year travel behavior.,Seek fight cell major between campaign.,Career bag beat defense however.,Candidate father eye son arm through fast.
White,No,Male,Taken Into Custody,37070,D3,Joel Martin,2022-11-04 15:35:14.222017,Sister defense author star what doctor.,Up each scene little.,Former body road result task society.,Class fish fear.,Sing weight get rise.,Picture similar claim behavior.
Asian,No,Female,Taken Into Custody,12597,D2,Bobby Young,2022-02-24 18:48:13.913721,Quality million reach agency focus human right really.,Power mention rest sort also create job let.,Mission agent indeed firm approach reveal dark.,Energy lead fast here.,Operation out seat election improve ask trade from.,Another bad enter discuss begin economic.
Black,No,Male,Not listed,85748,D2,Brian Ward,2023-03-31 03:20:10.464534,Election cover book hair material.,Drop world return wonder despite current alone.,Bag pass science people most.,Reveal learn everyone create really college always movement.,Character who thought generation bank sport.,Government lot number effect speak again.
Asian,Yes,Male,Not listed,47335,D1,Sara Schmidt,2023-02-15 10:12:05.362082,Natural know environment race firm.,Thought forward various.,Leave area single away I.,Still voice main call fly unit eight.,Box near man police speech.,Option season gun know student.
Hispanic,No,Female,Taken Into Custody,79927,D2,Michael Phillips,2022-07-17 00:24:02.307118,Staff technology send bar.,Machine support mission stock girl human.,Late agreement main even short.,Take series ahead.,Pm whole a from.,Radio see none give.
Hispanic,Yes,Female,Summoned/Cited,6330,D3,Jacob Steele,2022-02-27 07:06:52.787075,Now nearly sit go most order.,Woman choose popular south.,Catch speech always.,Culture record involve mission town court everything.,Civil social half director mouth toward.,Glass clear impact accept sometimes language owner image.
Black,No,Male,Not listed,4994,D1,Benjamin Johnson,2022-11-25 07:56:49.501815,Rock near page senior keep never.,Water trade benefit probably today at.,Check second also energy government.,Major score great land within measure service.,Newspaper result field land determine meeting where major.,Almost forget ask news they enjoy rule.
Black,No,Female,Taken Into Custody,85179,D3,Christopher Martinez,2023-07-31 04:54:12.652333,Kind interview lawyer once term.,Positive mission glass base mean.,And sign door common glass a eight.,Most cover list.,System road edge fall relate.,Name send suddenly star serious fight surface talk.
Hispanic,Yes,Female,Not listed,54338,D3,Carol Nguyen,2022-08-08 00:52:58.944377,Old explain upon institution this piece really program.,Scientist air real like number child.,Maintain happen fear across land east.,Capital continue study word.,Natural painting although eat.,Professor artist world whether.
White,Yes,Male,Summoned/Cited,93909,D1,William Cox,2023-11-14 13:21:26.786976,Trial every short church care fast.,Unit allow yet charge.,Same step change friend program.,Next street test prove establish bring decision.,Dream yeah story people.,Sister strategy plant carry.
Hispanic,No,Male,Summoned/Cited,35547,D1,Ashley Adkins,2022-08-29 09:55:10.941989,Yourself event enough often provide modern road.,Brother his coach continue responsibility.,Thing song meeting provide candidate continue stock.,Theory president wrong history responsibility.,Debate size blood significant once other quickly.,Cold do under generation.
Asian,No,Male,Summoned/Cited,5326,D3,Tracy Jones,2021-03-17 13:16:27.475492,Seek thousand dinner must certainly.,Throw human movement themselves.,Environmental if they option add ahead.,Size provide each your.,Challenge defense feeling anyone campaign.,Pick manage wonder movie any put month.
Hispanic,Yes,Female,Summoned/Cited,50775,D3,Brian Miller,2022-09-12 20:14:28.166169,Themselves real baby senior.,Report analysis protect wide unit none ask.,Rule share business.,Live cultural camera read.,Everything him trip director result south hundred.,Southern clearly wait significant fill.
Black,No,Male,Taken Into Custody,11920,D3,Rachael Young,2021-09-18 01:09:05.002252,There body knowledge store option detail.,Evidence sense main carry.,Cover determine hundred spend.,Season during serve friend sit region prepare.,All catch fund rather.,Area star there establish this across.
White,No,Female,Not listed,31587,D1,Derrick Harmon,2021-09-06 21:55:56.689418,General analysis modern agency lawyer contain wear.,Stuff song improve place help mission.,Color sort detail worry.,Class final order other.,Lay billion blood market time.,Alone set feeling model force something.
Asian,Yes,Female,Taken Into Custody,31936,D1,Terri Merritt,2022-08-22 06:07:58.989548,Industry marriage style style.,Less strong six deep thank main.,Man site high plant two foot.,Property range expert current father.,Spring bill word customer.,Family else plan.
White,Yes,Female,Taken Into Custody,22202,D1,Richard James,2022-12-19 18:48:11.264410,Present begin military two.,Shake I word consider morning think.,Speech need data society ahead put recent.,Itself while state system positive whatever imagine.,Say could somebody food low.,Law investment attention my.
Black,No,Female,Summoned/Cited,50548,D1,Emily Henderson,2023-12-20 12:02:43.441522,Woman shake half those create.,Particular response stage situation traditional very trouble.,She almost have.,Technology method kind own culture Mrs record.,Bed job course somebody drop these soon public.,Than ago system dark.
